antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
Age_Senior,"Income_High, Spending_Low",0.2209775967413442,0.2759674134419552,0.20672097759674135,0.9354838709677419,3.3898345435067254,1.0,0.14573836179541316,11.222505091649685,0.9049808429118774,0.712280701754386,0.910893335148133,0.8422806808713248
"Income_High, Spending_Low",Age_Senior,0.2759674134419552,0.2209775967413442,0.20672097759674135,0.7490774907749078,3.3898345435067254,1.0,0.14573836179541316,3.1046334012219967,0.9737135651583492,0.712280701754386,0.6779007790077901,0.8422806808713248
Age_Senior,Income_High,0.2209775967413442,0.34012219959266804,0.2209775967413442,1.0,2.9401197604790417,1.0,0.14581821047697663,inf,0.8470588235294118,0.6497005988023951,1.0,0.8248502994011976
Income_High,Age_Senior,0.34012219959266804,0.2209775967413442,0.2209775967413442,0.6497005988023952,2.9401197604790417,1.0,0.14581821047697663,2.2238759204135983,1.0,0.6497005988023951,0.5503346248679112,0.8248502994011976
"Spending_Low, Age_Senior",Income_High,0.20672097759674135,0.34012219959266804,0.20672097759674135,1.0,2.9401197604790417,1.0,0.13641058399459105,inf,0.8318356867779205,0.6077844311377246,1.0,0.8038922155688623
Income_High,"Spending_Low, Age_Senior",0.34012219959266804,0.20672097759674135,0.20672097759674135,0.6077844311377245,2.9401197604790417,1.0,0.13641058399459105,2.0225587288754836,1.0,0.6077844311377246,0.5055767796883768,0.8038922155688623
Age_Senior,Spending_Low,0.2209775967413442,0.3329938900203666,0.20672097759674135,0.9354838709677419,2.809312419848081,1.0,0.13313678805048926,10.33859470468431,0.8267297723687176,0.5953079178885631,0.9032750554050726,0.7781394890006905
Spending_Low,Age_Senior,0.3329938900203666,0.2209775967413442,0.20672097759674135,0.6207951070336392,2.809312419848081,1.0,0.13313678805048926,2.054357466657907,0.9655698868123189,0.5953079178885631,0.5132297975255342,0.7781394890006905
"Income_High, Age_Senior",Spending_Low,0.2209775967413442,0.3329938900203666,0.20672097759674135,0.9354838709677419,2.809312419848081,1.0,0.13313678805048926,10.33859470468431,0.8267297723687176,0.5953079178885631,0.9032750554050726,0.7781394890006905
Spending_Low,"Income_High, Age_Senior",0.3329938900203666,0.2209775967413442,0.20672097759674135,0.6207951070336392,2.809312419848081,1.0,0.13313678805048926,2.054357466657907,0.9655698868123189,0.5953079178885631,0.5132297975255342,0.7781394890006905
Income_Low,"Age_Young, Spending_High",0.33095723014256617,0.1680244399185336,0.15274949083503056,0.4615384615384616,2.746853146853147,1.0,0.09714058760333666,1.5450974687227237,0.9505327245053273,0.4411764705882354,0.35279163920534795,0.6853146853146854
"Age_Young, Spending_High",Income_Low,0.1680244399185336,0.33095723014256617,0.15274949083503056,0.9090909090909092,2.746853146853147,1.0,0.09714058760333666,7.359470468431779,0.7643818849449205,0.4411764705882354,0.8641206586412067,0.6853146853146854
"Spending_High, Income_Low",Age_Young,0.219959266802444,0.26476578411405294,0.15274949083503056,0.6944444444444445,2.6228632478632483,1.0,0.0945118030869293,2.406221070172191,0.7932114882506527,0.4601226993865032,0.5844105878731919,0.6356837606837608
Age_Young,"Spending_High, Income_Low",0.26476578411405294,0.219959266802444,0.15274949083503056,0.576923076923077,2.6228632478632483,1.0,0.0945118030869293,1.8437326421033147,0.8415512465373961,0.4601226993865032,0.4576220124522997,0.6356837606837608
Income_Low,Age_Young,0.33095723014256617,0.26476578411405294,0.22912423625254583,0.6923076923076924,2.6147928994082847,1.0,0.1414980857056342,2.3895112016293285,0.9230509047860646,0.6250000000000001,0.5815043682079695,0.778846153846154
Age_Young,Income_Low,0.26476578411405294,0.33095723014256617,0.22912423625254583,0.8653846153846154,2.6147928994082843,1.0,0.1414980857056342,4.9700320046552235,0.8399507540781779,0.6250000000000001,0.7987940522187098,0.778846153846154
Income_High,Spending_Low,0.34012219959266804,0.3329938900203666,0.2759674134419552,0.8113772455089819,2.4366130125070957,1.0,0.16270879911730912,3.5361911227491656,0.8934900460115712,0.694871794871795,0.7172098550989622,0.8200617114395062
Spending_Low,Income_High,0.3329938900203666,0.34012219959266804,0.2759674134419552,0.8287461773700305,2.4366130125070957,1.0,0.16270879911730912,3.8532150130928127,0.8839412974282416,0.694871794871795,0.7404764601502623,0.8200617114395062
Income_Mid,"Age_Mid, Spending_Mid",0.3289205702647658,0.22708757637474541,0.15173116089613034,0.4613003095975232,2.0313762512321425,1.0,0.07703738577490553,1.434774211672168,0.7565764683117597,0.3753148614609571,0.30302622401155177,0.5647308722875508
"Age_Mid, Spending_Mid",Income_Mid,0.22708757637474541,0.3289205702647658,0.15173116089613034,0.6681614349775784,2.0313762512321425,1.0,0.07703738577490553,2.0223069301480705,0.6568957741995384,0.3753148614609571,0.5055152187374536,0.5647308722875508
Spending_High,"Age_Young, Income_Low",0.3380855397148676,0.22912423625254583,0.15274949083503056,0.4518072289156627,1.9718875502008035,1.0,0.07528589975983177,1.4062129316711802,0.7446153846153847,0.3685503685503686,0.288870143718865,0.5592369477911647
"Age_Young, Income_Low",Spending_High,0.22912423625254583,0.3380855397148676,0.15274949083503056,0.6666666666666667,1.9718875502008035,1.0,0.07528589975983177,1.9857433808553975,0.6393659180977543,0.3685503685503686,0.4964102564102566,0.5592369477911647
Income_Low,Spending_High,0.33095723014256617,0.3380855397148676,0.219959266802444,0.6646153846153846,1.9658202038924932,1.0,0.10806741302715686,1.973598161400624,0.7343424093804612,0.48979591836734704,0.49331124260355036,0.6576088971269693
Spending_High,Income_Low,0.3380855397148676,0.33095723014256617,0.219959266802444,0.6506024096385542,1.965820203892493,1.0,0.10806741302715686,1.9148465482126553,0.7422507122507125,0.48979591836734704,0.47776494104270967,0.6576088971269693
Age_Young,Spending_High,0.26476578411405294,0.3380855397148676,0.1680244399185336,0.6346153846153847,1.8770852641334572,1.0,0.0785109568983039,1.8115553649908889,0.6355242172416689,0.3864168618266979,0.44798816568047356,0.5658016682113068
Spending_High,Age_Young,0.3380855397148676,0.26476578411405294,0.1680244399185336,0.49698795180722893,1.877085264133457,1.0,0.0785109568983039,1.4616632315816431,0.705920745920746,0.3864168618266979,0.3158478790508294,0.5658016682113068
"Income_Mid, Spending_Mid",Age_Mid,0.1680244399185336,0.5142566191446029,0.15173116089613034,0.903030303030303,1.7559915991599158,1.0,0.0653234804899598,5.0092286150712795,0.5174685582381111,0.2859884836852207,0.8003684645194078,0.599039903990399
Age_Mid,Income_Mid,0.5142566191446029,0.3289205702647658,0.29327902240325865,0.5702970297029702,1.7338442203353461,1.0,0.12412944197178541,1.5617286268031947,0.8713385161891452,0.5333333333333332,0.35968388948151253,0.7309689482880176
Income_Mid,Age_Mid,0.3289205702647658,0.5142566191446029,0.29327902240325865,0.891640866873065,1.7338442203353461,1.0,0.12412944197178541,4.482717486179807,0.6306957089866801,0.5333333333333332,0.7769210299147795,0.7309689482880176
Spending_Mid,"Age_Mid, Income_Mid",0.3289205702647658,0.29327902240325865,0.15173116089613034,0.4613003095975232,1.572905916752666,1.0,0.05526565760055749,1.3119015848491233,0.5427585012883054,0.3225108225108225,0.2377477003238729,0.48933071035431713
"Age_Mid, Income_Mid",Spending_Mid,0.29327902240325865,0.3289205702647658,0.15173116089613034,0.517361111111111,1.5729059167526658,1.0,0.05526565760055749,1.3904379551348738,0.5153859543933621,0.3225108225108225,0.28080214129151904,0.48933071035431713
Income_Mid,Spending_Mid,0.3289205702647658,0.3289205702647658,0.1680244399185336,0.5108359133126935,1.5530676992974148,1.0,0.05983569837523488,1.3718902266106372,0.5306571021290293,0.34303534303534305,0.27107870542194995,0.5108359133126935
Spending_Mid,Income_Mid,0.3289205702647658,0.3289205702647658,0.1680244399185336,0.5108359133126935,1.5530676992974148,1.0,0.05983569837523488,1.3718902266106372,0.5306571021290293,0.34303534303534305,0.27107870542194995,0.5108359133126935
Age_Mid,Spending_Mid,0.5142566191446029,0.3289205702647658,0.22708757637474541,0.4415841584158416,1.3425252122735494,1.0,0.057937995943272175,1.2017557163698342,0.5252465427607148,0.368595041322314,0.16788413287459245,0.5659933175980136
Spending_Mid,Age_Mid,0.3289205702647658,0.5142566191446029,0.22708757637474541,0.6904024767801857,1.3425252122735494,1.0,0.057937995943272175,1.5689511201629327,0.38018604081466,0.368595041322314,0.3626315140422272,0.5659933175980136
Spending_High,Age_Mid,0.3380855397148676,0.5142566191446029,0.17006109979633402,0.5030120481927711,0.978134319456042,1.0,-0.0038016268391121433,0.9773745602666174,-0.03266913809082465,0.2492537313432836,-0.02314920057588839,0.41685255874985094
